algo,nodes,flows,pps,throughput_mbps,delay_ms,pdr,drop_ratio
paper,20,30,300,2.34761,12.1077,0.919998,0.0668506
proposed,20,30,300,2.28724,12.1072,0.919877,0.0659905
paper,40,30,300,2.40361,12.1068,0.920037,0.0666743
proposed,40,30,300,2.36648,12.1068,0.920078,0.0677812
paper,60,30,300,2.45575,12.108,0.919968,0.0667527
proposed,60,30,300,2.44283,12.1081,0.919965,0.0682738
paper,80,30,300,2.3001,12.1079,0.919117,0.0678284
proposed,80,30,300,2.20701,12.1079,0.918604,0.0688386
paper,100,30,300,2.35126,12.1077,0.919227,0.0675715
proposed,100,30,300,2.40425,12.1075,0.919446,0.0669403
paper,60,10,300,0.65782,12.1042,0.917142,0.0714484
proposed,60,10,300,0.65782,12.1042,0.917142,0.0714484
paper,60,20,300,1.66377,12.1062,0.920638,0.0648325
proposed,60,20,300,1.57311,12.1064,0.920393,0.0647028
paper,60,30,300,2.45575,12.108,0.919968,0.0667527
proposed,60,30,300,2.44283,12.1081,0.919965,0.0682738
paper,60,40,300,3.0861,12.1095,0.919068,0.067991
proposed,60,40,300,3.09614,12.1091,0.918941,0.0676946
paper,60,50,300,3.7069,12.1118,0.918321,0.0696944
proposed,60,50,300,3.83144,12.1118,0.918361,0.0694702
paper,60,30,100,2.38741,12.1068,0.920069,0.0668914
proposed,60,30,100,2.29048,12.107,0.92027,0.0666693
paper,60,30,200,2.39807,12.1081,0.920061,0.0675585
proposed,60,30,200,2.39807,12.1081,0.920061,0.0675585
paper,60,30,300,2.45575,12.108,0.919968,0.0667527
proposed,60,30,300,2.44283,12.1081,0.919965,0.0682738
paper,60,30,400,2.43114,12.1084,0.920077,0.0668167
proposed,60,30,400,2.30066,12.1086,0.920033,0.0663762
paper,60,30,500,2.36706,12.1088,0.920026,0.0671034
proposed,60,30,500,2.51335,12.1087,0.919862,0.0680196
