seq,inc_gamma_trad,inc_gamma_impr,dec_gamma_trad,dec_gamma_impr
1,200.00,200.00,198.56,198.56
2,154.75,154.75,149.50,149.50
3,111.76,113.64,115.22,115.76
4,83.83,83.83,86.95,87.49
5,63.53,63.53,244.68,219.60
6,50.07,50.07,303.39,263.15
7,38.73,38.73,224.45,190.89
8,28.76,28.76,189.05,157.30
9,20.76,20.76,190.82,158.12
10,16.63,16.63,131.43,107.23
11,13.57,3.88,157.50,129.57
12,25.88,6.68,109.78,88.80
13,37.71,1.66,331.65,252.78
14,62.72,22.50,508.55,380.53
15,92.91,51.93,528.12,399.52
16,164.10,122.45,528.80,404.55
17,96.40,66.01,511.19,390.46
18,129.72,112.20,476.31,365.91
19,68.37,48.68,443.36,342.18
20,63.82,38.86,398.99,308.43
21,81.17,53.97,367.17,284.94
